Date : 2025-02-08 18:26:27
Directory : /mnt/shareDsk/IT/repo/sja-v4
Total : 66 files,  9912 codes, 108 comments, 314 blanks, all 10334 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /mnt/shareDsk/IT/repo/sja-v4/public/homepage/home-bg.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /mnt/shareDsk/IT/repo/sja-v4/public/homepage/nav-logo.svg                                      | XML                |         61 |          0 |          1 |         62 |
| /mnt/shareDsk/IT/repo/sja-v4/public/homepage/stat-logo.svg                                     | XML                |         61 |          0 |          1 |         62 |
| /mnt/shareDsk/IT/repo/sja-v4/public/homepage/update-log-logo.svg                               | XML                |         39 |          0 |          1 |         40 |
| /mnt/shareDsk/IT/repo/sja-v4/public/meta/main-logo.svg                                         | XML                |        433 |          0 |          1 |        434 |
| /mnt/shareDsk/IT/repo/sja-v4/public/meta/white-banner-title.svg                                | XML                |          6 |          1 |          1 |          8 |
| /mnt/shareDsk/IT/repo/sja-v4/public/project-display/readme.md                                  | Markdown           |          3 |          0 |          0 |          3 |
| /mnt/shareDsk/IT/repo/sja-v4/public/ui/wifi_off.svg                                            | XML                |         39 |          0 |          1 |         40 |
| /mnt/shareDsk/IT/repo/sja-v4/tailwind.config.ts                                                | TypeScript         |         19 |          0 |          2 |         21 |
| /mnt/shareDsk/IT/repo/sja-v4/tsconfig.json                                                     | JSON with Comments |         27 |          0 |          1 |         28 |
| Total                                                                                          |                    |      9,912 |        108 |        314 |     10,334 |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
