motion,运动,4c97ff,display
looks,外观,9966ff,display
sound,声音,d65cd6,art
event,事件,ffd500,interact
control,控制,ffab19,logic
sensing,侦测,4cbfe6,interact
operator,运算,40bf4a,logic
data,变量,ff8c1a,logic
procedures,自制,ff6680,logic
music,音乐,d473d4,art
pen,画笔,0fbd8c,art
videoSensing,视频侦测,9bcfe5,interact
text2speech,朗读,a376ff,interact
translate,翻译,5cb1d6,interact
makeymakey,MK,e95f1a,interact
microbit,Bit,27c498,interact
ev3,EV3,ffbf00,interact
boost,Boost,ffab19,interact
wedo2,WeDo,ff6680,interact
gdxfor,GDF,5ea2ff,interact
lazyAudio,懒音乐,d473d4,art
canvas,画布,0fbd8c,art
battle,对战,ffab19,interact
stringExt,字符串,ffe966,logic
js,JS,ffe966,logic
community,社区,3374c8,interact
puzzle,谜题,0ba14b,interact
kinect,Kinect,ff6666,interact
other,其它,979797,other
